0: 
1: 
2: 
3: 
4: 
5: 
6: 22,37,9
204: 233,231,261
205: 127,153,175
206: 236,237,380
207: 
208: 131,262,234
209: 179,235,233,154,262,290
210: 187,110,240
211: 159,135
212: 269,238,295
213: 271,216,164,245,215
214: 
215: 245,213,271,273,274
216: 159,188,213,271,164
217: 220,302,244
218: 163,139,190,220
219: 248,250,193,304,308
220: 217,244,218
221: 171,92,192,224,170
222: 223,169,248,250
223: 222,169,199,248,144,195
224: 144,170,171,221,253,148
225: 145,253,251,148,97,198
226: 254,229,198,97,228
227: 279,338,197,371
228: 229,226,172,200
229: 226,228,200
230: 231,285
231: 230,256,204
232: 260,291,258,256
233: 204,291,261,209,235
234: 290,208,318,236
235: 209,233,291,320
236: 206,234,318
237: 294,206
238: 212
239: 268,325
240: 158,210
241: 272,184,270,327
242: 134,188
243: 331,332,389,301,302
244: 217,220,302,167,246,276
245: 215,213,164
246: 193,304,276,302,244,361,306
247: 191,167,165,163,141
248: 219,250,193,90,249,195,222,223
249: 90,192,248
250: 248,219,308,364,222
251: 196,148,225,254,198
252: 337,168,338,279
253: 145,225,171,194,224,148
254: 198,226,251,283
255: 283,147,284
256: 258,201,231,232
257: 315,203,147
258: 201,256,317,232
259: 288,287,320,435
260: 291,232,375,320
261: 83,233,204
262: 208,131,154,209,290
263: 382
264: 378,408,265
265: 352,382,264,322
800: 788
267: 158
268: 325,353,239
269: 212,385,325
270: 184,299,386,241,327,300,273
271: 213,327,216,215
272: 241,188,327
273: 300,270,215,274
274: 273,389,215
275: 335,305,390
276: 193,246,244,191,167,90
277: 308,364,335,307,365
278: 168,395,309
279: 283,227,252
280: 168,338,340,371
281: 396,426
282: 396,430,312,431
283: 255,279,254
284: 286,255,147,341
285: 230,149,203,201
286: 284,343,341,315,373
287: 259,320,179
288: 259,292,435,407
289: 292,435,347,376,409
290: 234,209,179,262
291: 260,232,233,235
292: 289,435,347,288,438
293: 
294: 237
295: 157,212,325
296: 383,298
297: 
298: 384,354,296,383
299: 184,386,270,353,355
300: 273,386,270,326,328
301: 328,303,243,332
302: 217,244,331,243,246,361
303: 358,476,326,328,301
304: 193,246,306,219,308
305: 331,332,275,390
306: 361,335,246,304,308
307: 366,333,365,277,424
308: 277,364,304,306,335,219,250
309: 310,368,395,367,278
310: 368,309,340,396
311: 370,431,398,490,346,314
312: 197,371,282,313
313: 343,341,312,197,370
314: 346,343,370,311,372
315: 149,203,257,286,373,316
316: 372,373,342,315
317: 345,342,258,319
318: 379,321,234,236
319: 375,317,404,344
320: 259,287,260,235
321: 407,318,408
322: 410,265,352
323: 411
324: 
325: 268,295,269,239
326: 356,476,386,416,300,328,303
327: 271,272,241,270
328: 301,300,326,303
329: 360,330,332
330: 358,359,329
331: 305,243,332,302,361
332: 331,305,243,301,329
333: 307,335,334
334: 390,451,362,333,336
335: 306,275,277,308,333
336: 334,451,366
337: 252,169,199
338: 280,252,227,371
801: 761,763,742,745
340: 310,280,371,396
341: 343,313,197,284,286,373
342: 316,317
343: 341,313,286,370,373,314
344: 376,405,404,319
345: 317,400,404
346: 374,400,314,311,398,372,403
347: 292,289,348,409,438
348: 377,524,409,347
349: 522
350: 470
351: 438,381
352: 265,322,410
353: 268,529,299,355
354: 298,384,357
355: 416,353,529,299,386
356: 476,326,416,414,418,387
357: 529,354
358: 303,330,476,418,448
359: 419,448,330,477,446
360: 329,477,390,362
361: 306,302,331,246
362: 391,360,477,334
363: 481,394,422,508,393
364: 277,308,250,365
365: 307,277,364,424
366: 307,336,423,424,392
367: 395,423,425,368,309
368: 310,309,367,425,426
369: 426,484,489
370: 311,431,343,313,314
371: 312,197,280,338,340,227
372: 373,316,346,400,314
373: 372,316,286,343,341,315
374: 346,398,460,399,403
375: 319,260,376
376: 344,375,289,435
377: 524,348,409,496,436
378: 264
379: 318,179
380: 206,382
381: 553,351
382: 265,380,263
383: 385,296,298
384: 298,354,502,443
385: 383,269
386: 299,270,355,416,300,326
387: 414,356
388: 413
389: 274,243
390: 334,305,360,275
391: 362,449,420
392: 454,455,366,393,423
393: 394,363,455,392
394: 481,363,393,452
395: 367,424,278,309
396: 282,281,310,340
397: 456,427,489,458
398: 311,490,374,346,399
399: 432,460,402,398,374
400: 346,372,345,405,404,403
401: 492,547,515,491,518
402: 432,399,459,515
403: 405,374,346,400,465
404: 405,400,345,319,344
405: 404,403,400,344
406: 552
407: 321,288
408: 321,264
409: 377,348,436,289,347
410: 322,352,411
411: 410,323
412: 502
413: 388
414: 416,356,387
415: 501,502
416: 355,386,414,356,326
417: 505,503,643
418: 356,476,358,448
419: 448,359,478,530,446
420: 509,508,422,391
421: 507,478,530,447,475
422: 451,420,508,363
423: 367,424,366,454,425,392
424: 395,423,366,307,365
425: 454,367,423,368
426: 369,368,281
427: 516,456,397,458,572
428: 489,545,457,488
429: 457,459,488
430: 282,431,490
431: 370,311,430,282,490
432: 460,399,402,492,463
433: 437,493,463
434: 577,551,493,462,437
435: 292,289,376,288,259
436: 496,377,409
437: 433,493,434,552
438: 351,292,347
439: 467
440: 441
441: 440
442: 
443: 502,384
444: 475,445,473
445: 444,473
446: 477,419,359,479,449
447: 475,421,530
448: 419,359,418,358,530
449: 479,446,391,509
450: 567,483,480,510
451: 422,334,336
452: 394,455,511
453: 541,481,569
454: 425,455,392,423
455: 454,392,393,452,484
456: 485,397,516,482,427
457: 429,428,489
458: 544,572,397,427,545
459: 490,488,429,515,402
460: 432,399,374,463,465
461: 547,545,544,519
462: 517,518,493,434,577
463: 465,432,460,433
464: 523,466,554
465: 463,460,403
466: 526,554,464
467: 555,439
468: 469
469: 468,470
470: 350,469
471: 
472: 
473: 445,444,475
474: 585,615
475: 444,447,473,421
476: 356,326,418,303,358
477: 446,359,360,362
478: 421,507,530,419,479
479: 565,449,478,446
480: 563,483,450
481: 394,363,569,508,453
482: 516,573,511,456,485
483: 567,450,480,564,540
484: 485,455,369
485: 456,484,482
486: 598,512,570,573,542
487: 598,541,596,624,568,512
488: 459,429,428,515
489: 428,369,397,457
490: 459,430,311,431,398
491: 518,547,519,401
492: 401,493,432
493: 492,462,518,437,433,434
494: 551,579
495: 580,527
496: 436,377
497: 499
498: 499
499: 497,584,498
500: 557
501: 415,588
502: 443,384,412,415
503: 615,505,417
504: 690,533,620,561,592
505: 417,503,532
506: 533,507,565
507: 421,478,506,565
508: 420,538,422,481,363,569
509: 420,538,510,449
510: 538,509,565,567,450
511: 512,452,482
512: 511,487,598,486,573
513: 537,562,536,591,618
514: 516,573,542,572,571
515: 547,459,488,402,401
516: 573,514,482,427,456
517: 462,521,549
518: 462,491,401,493
519: 603,547,461,491
520: 602,574,521
521: 576,549,520,517,606
522: 349
523: 464,554
524: 377,348,580
525: 550,606,579,549,577
526: 466,554,578,581
527: 582,495
528: 
529: 357,353,355
530: 421,478,447,419,448
531: 534,643,690,669,620
532: 505,560
533: 560,506,504
534: 643,531,616
535: 564,540,593,624,566
536: 513,562,618,650
537: 513,562,592,591
538: 509,510,508,567,569
539: 621,566,624,568
540: 564,535,483
541: 453,596,487
542: 486,514,571,599
543: 675,621,673,623
544: 458,575,572,545,461,603
545: 428,544,458,461
546: 627,599,654,600,628,604
547: 515,461,519,401,491
548: 631,727,705,576,682
549: 521,517,577,525,606
550: 525,635,605
551: 434,494
552: 406,437
553: 381,580
554: 466,526,523,464,581
555: 467,584
556: 637
557: 500,585
558: 639,666,615
559: 613
560: 533,532
561: 563,504,592
562: 513,537,536,592
563: 561,480,648,564
564: 648,535,540,563,483,593
565: 479,507,506,510
566: 621,539,535,595,624
567: 483,450,538,510,569
568: 624,539,487,598
569: 481,538,508,567,453
570: 597,598,486,622
571: 599,514,542,575,572
572: 544,458,575,514,427,571
573: 516,514,482,512,486
574: 602,628,520,627,603
575: 544,572,571,627,603
576: 521,548,705,606
577: 434,462,549,525,579
578: 660,581,526,608
579: 525,577,494
580: 524,553,495
581: 578,632,526,554
582: 527,608
583: 609,610,685,636
584: 555,499
585: 474,666,557
586: 
587: 
588: 501
589: 590,619,616,669
590: 589,619,670,671
591: 671,618,695,619,513,537
592: 537,562,504,620,561
593: 650,595,648,564,535
594: 646,618,672,647
595: 593,650,621,649,566
596: 624,541,487
597: 570,651,601,625
598: 487,486,568,512,570
599: 546,571,542,600
600: 654,676,546,599
601: 622,626,597,625
602: 628,574,520,656
603: 519,544,575,627,574
604: 652,656,546,654,628
605: 659,635,550,657
606: 525,521,576,549
607: 608,660
608: 607,660,578,582
609: 583,610,663,685
610: 583,609,636
611: 637
612: 613,639
613: 612,639,559
614: 642,644,691
615: 503,474,558,641
616: 617,534,589
617: 616,642
618: 591,695,513,536,594
619: 589,590,591,671
620: 669,531,504,690,592
621: 649,539,566,595,673,543
622: 601,570
623: 673,674,696,675,543
624: 596,568,535,539,566,487
625: 653,680,597,651,601,626
626: 601,625,680,676,629
627: 546,575,603,628,574
628: 602,574,546,627,656,604
629: 679,702,626,680,676
630: 709,706,655,727,681
631: 727,548,705,683
632: 635,581
633: 634,708
634: 633,659,663
635: 659,605,550,632,686
636: 583,610
637: 556,611
638: 661
639: 558,613,612
640: 
641: 615
642: 614,617,694,670
643: 534,531,417
644: 614,716,692
645: 737,756,695,647
646: 594,650,672,649,674
647: 672,718,645,594
648: 564,563,593
649: 621,650,595,646,673,674
650: 593,595,536,646,649
651: 675,699,597,625,653
652: 656,683,604,723
653: 625,680,651,699,701,678
654: 676,600,546,604
655: 706,707,630,681
656: 652,683,604,602,628,705
657: 682,684,605
658: 767,729,726,728
659: 635,605,634,686,663
660: 578,608,607
661: 685,638,687
662: 
663: 686,659,634,609
664: 
665: 
666: 585,558
667: 
668: 693,753
669: 620,531,589
670: 715,694,642,590,671
671: 591,695,590,619,715,670
672: 718,647,738,646,594,674
673: 623,674,621,649,675,543
674: 673,623,646,672,649,696
675: 651,543,673,623
676: 654,600,626,629
677: 720,699,789,701,698
678: 701,653,680,702,724
679: 629,702
680: 625,653,626,678,629,702
681: 730,726,655,707,630
682: 657,727,548,709,684
683: 652,656,723,631,705
684: 728,709,682,657
685: 661,583,609
686: 663,659,635
687: 732,661
688: 
689: 
690: 504,531,620
691: 693,614
692: 644,694,735
693: 668,691,716
694: 715,670,642,692,735
695: 591,671,618,645
696: 721,623,674
697: 720,721,719,722,758
698: 701,677,789,762
699: 651,720,677,653,701
700: 761,744,724
701: 678,698,699,677,653
702: 629,679,680,678,724
703: 725,765,730
704: 765,746,747
705: 631,548,656,683,576
706: 723,655,630
707: 725,655,681,730
708: 633,767,731
709: 630,727,682,684
710: 767,748
711: 750,732
712: 
713: 
714: 
715: 694,670,735,671,756
716: 693,644,734
717: 770,775,776
718: 672,647,738,737
719: 738,722,697
720: 677,697,721,699
721: 696,720,697
722: 739,757,719,697,758
723: 706,652,683
724: 744,678,762,702,700,761
725: 743,707,765,730,703
726: 681,730,728,658
727: 631,548,709,630,682
728: 684,726,658
729: 658,767
730: 681,726,725,707,703
731: 708
732: 687,711
733: 754,736
734: 716
735: 692,715,694,756,755
736: 755,770,733
737: 756,645,755,718
738: 672,718,719
739: 757,722,775
740: 787,798
741: 797
742: 762,779,801,761
743: 725,744
744: 724,700,743
745: 778,801,763,747
746: 765,704,747
747: 781,763,745,704,746
748: 710
749: 766,784
750: 769,711
751: 783,769
752: 
753: 668
754: 733
755: 736,770,735,737,756
756: 737,645,715,735,755
757: 739,722,758
758: 760,757,722,697
759: 774,760
760: 758,759,779
761: 700,801,762,742,724
762: 742,698,724,761
763: 801,745,747
764: 
765: 704,746,725,703
766: 749,784
767: 658,729,708,710
768: 
769: 751,750
770: 736,755,717
771: 785
772: 786
773: 777
774: 759
775: 717,739
776: 717
777: 773,787,797
778: 745,796
779: 742,789,760
780: 793,781
781: 747,780,793
782: 
783: 751
784: 766,749
785: 771
786: 772
787: 740,777
788: 797,800
789: 677,698,779
790: 796,793,792
791: 799,792
792: 799,791,790
793: 780,790,781
794: 799
795: 
796: 790,778
797: 741,788,777
798: 740
799: 791,792,794
