parameter,group,GPT-5,Sonnet-4,GPT-4o,different
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/phase_transition_rates/@units,Cell cycle,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/phase_transition_rates/rate,Cell cycle,0.001075269,0.001075269,0.001075269,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/phase_transition_rates/rate/@end_index,Cell cycle,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/phase_transition_rates/rate/@fixed_duration,Cell cycle,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/phase_transition_rates/rate/@start_index,Cell cycle,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/standard_asymmetric_division[@enabled=False]/@enabled,Cell cycle,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/standard_asymmetric_division[@enabled=False]/asymmetric_division_probability[@name=cancer_cell],Cell cycle,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cycle[@name=basic Ki67|@code=1]/standard_asymmetric_division[@enabled=False]/asymmetric_division_probability[@name=cancer_cell]/@units,Cell cycle,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/death_rate,Cell death,0.0001,0.0001,0.0001,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/death_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/calcification_rate,Cell death,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/calcification_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/cytoplasmic_biomass_change_rate,Cell death,0.0166667,0.0166667,0.0166667,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/cytoplasmic_biomass_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/lysed_fluid_change_rate,Cell death,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/lysed_fluid_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/nuclear_biomass_change_rate,Cell death,0.00583333,0.00583333,0.00583333,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/nuclear_biomass_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/relative_rupture_volume,Cell death,2,2,2,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/relative_rupture_volume/@units,Cell death,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/unlysed_fluid_change_rate,Cell death,0.05,0.05,0.05,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/parameters/unlysed_fluid_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/phase_durations/@units,Cell death,min,min,min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/phase_durations/duration,Cell death,516,516,516,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/phase_durations/duration/@fixed_duration,Cell death,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=apoptosis|@code=100]/phase_durations/duration/@index,Cell death,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/death_rate,Cell death,0.0001,0.0001,0.0001,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/death_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/calcification_rate,Cell death,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/calcification_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/cytoplasmic_biomass_change_rate,Cell death,5.33333e-05,5.33333e-05,5.33333e-05,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/cytoplasmic_biomass_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/lysed_fluid_change_rate,Cell death,0.000833333,0.000833333,0.000833333,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/lysed_fluid_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/nuclear_biomass_change_rate,Cell death,0.00216667,0.00216667,0.00216667,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/nuclear_biomass_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/relative_rupture_volume,Cell death,2,2,2,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/relative_rupture_volume/@units,Cell death,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/unlysed_fluid_change_rate,Cell death,0.0111667,0.0111667,0.0111667,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/parameters/unlysed_fluid_change_rate/@units,Cell death,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/phase_durations/@units,Cell death,min,min,min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/phase_durations/duration,Cell death,86400,86400,86400,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/phase_durations/duration/@fixed_duration,Cell death,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/death/model[@name=necrosis|@code=101]/phase_durations/duration/@index,Cell death,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/bnd_filename,Intracellular / MaBoSS,../Supp_mat_MCP_orchestrator/gpt_5/Scenario_1/output.bnd,/home/mruscone/Desktop/github/mcp-biomodelling-servers/MaBoSS/artifacts/8685b3e7-544b-45b7-b96f-0444b525f87e/output.bnd,/home/mruscone/Desktop/github/mcp-biomodelling-servers/MaBoSS/artifacts/4a117dd7-9eca-4b16-806e-dc7df3e5a52c/output.bnd,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/cfg_filename,Intracellular / MaBoSS,../Supp_mat_MCP_orchestrator/gpt_5/Scenario_1/output.cfg,/home/mruscone/Desktop/github/mcp-biomodelling-servers/MaBoSS/artifacts/8685b3e7-544b-45b7-b96f-0444b525f87e/output.cfg,/home/mruscone/Desktop/github/mcp-biomodelling-servers/MaBoSS/artifacts/4a117dd7-9eca-4b16-806e-dc7df3e5a52c/output.cfg,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNFRSF1A]/settings/action,Intracellular / MaBoSS,activation,activation,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNFRSF1A]/settings/smoothing,Intracellular / MaBoSS,0,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNFRSF1A]/settings/threshold,Intracellular / MaBoSS,1,0.3,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNF]/settings/action,Intracellular / MaBoSS,activation,activation,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNF]/settings/smoothing,Intracellular / MaBoSS,0,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=TNF|@intracellular_name=TNF]/settings/threshold,Intracellular / MaBoSS,1,0.5,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=intracellular TNF|@intracellular_name=TNFRSF1A]/settings/action,Intracellular / MaBoSS,missing,missing,activation,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=intracellular TNF|@intracellular_name=TNFRSF1A]/settings/smoothing,Intracellular / MaBoSS,missing,missing,0,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/input[@physicell_name=intracellular TNF|@intracellular_name=TNFRSF1A]/settings/threshold,Intracellular / MaBoSS,missing,missing,1,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=BAX]/settings/action,Intracellular / MaBoSS,missing,activation,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=BAX]/settings/base_value,Intracellular / MaBoSS,missing,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=BAX]/settings/smoothing,Intracellular / MaBoSS,missing,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=BAX]/settings/value,Intracellular / MaBoSS,missing,0.008,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=CASP3]/settings/action,Intracellular / MaBoSS,activation,activation,activation,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=CASP3]/settings/base_value,Intracellular / MaBoSS,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=CASP3]/settings/smoothing,Intracellular / MaBoSS,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=apoptosis|@intracellular_name=CASP3]/settings/value,Intracellular / MaBoSS,1,0.01,1,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=CCND1]/settings/action,Cell cycle,activation,activation,activation,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=CCND1]/settings/base_value,Cell cycle,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=CCND1]/settings/smoothing,Cell cycle,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=CCND1]/settings/value,Cell cycle,1,0.008,1,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=MYC]/settings/action,Cell cycle,activation,activation,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=MYC]/settings/base_value,Cell cycle,0,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=MYC]/settings/smoothing,Cell cycle,0,0,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/mapping/output[@physicell_name=cycle entry|@intracellular_name=MYC]/settings/value,Cell cycle,1,0.01,missing,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/inheritance,Intracellular / MaBoSS,empty,empty,empty,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/inheritance/@global,Intracellular / MaBoSS,true,false,false,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/intracellular_dt,Intracellular / MaBoSS,6,6,6,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/scaling,Intracellular / MaBoSS,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/start_time,Intracellular / MaBoSS,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/intracellular[@type=maboss]/settings/time_stochasticity,Intracellular / MaBoSS,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/attachment_elastic_constant,Mechanics,0.01,0.01,0.01,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/attachment_elastic_constant/@units,Mechanics,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/attachment_rate,Mechanics,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/attachment_rate/@units,Mechanics,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity[@name=default],Mechanics,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/cell_cell_adhesion_strength,Mechanics,0.4,0.4,0.4,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/cell_cell_adhesion_strength/@units,Mechanics,micron/min,micron/min,micron/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/cell_cell_repulsion_strength,Mechanics,10,10,10,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/cell_cell_repulsion_strength/@units,Mechanics,micron/min,micron/min,micron/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/detachment_rate,Mechanics,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/detachment_rate/@units,Mechanics,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/maximum_number_of_attachments,Mechanics,12,12,12,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_absolute_equilibrium_distance[@enabled=false],Global simulation,15.12,15.12,15.12,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_absolute_equilibrium_distance[@enabled=false]/@enabled,Global simulation,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_absolute_equilibrium_distance[@enabled=false]/@units,Global simulation,micron,micron,micron,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_relative_equilibrium_distance[@enabled=false],Global simulation,1.8,1.8,1.8,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_relative_equilibrium_distance[@enabled=false]/@enabled,Global simulation,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/options/set_relative_equilibrium_distance[@enabled=false]/@units,Global simulation,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/relative_maximum_adhesion_distance,Mechanics,1.25,1.25,1.25,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/mechanics/relative_maximum_adhesion_distance/@units,Mechanics,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/migration_bias,Motility,0.5,0.5,0.5,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/migration_bias/@units,Motility,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/advanced_chemotaxis/chemotactic_sensitivities/chemotactic_sensitivity[@substrate=TNF],Global simulation,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/advanced_chemotaxis/enabled,Global simulation,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/advanced_chemotaxis/normalize_each_gradient,Global simulation,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/chemotaxis/direction,Global simulation,1,1,1,False
